State_Name,State_Cens,Reported_A,Annual_Rep,Annual_R00,Annual_R01,Annual_R02,Annual_R03,Natural_Di,Net_Annual,Annual_Gro,Annual_G00,Annual_G01,Projected_,Ground_Wat,Stage_of_G,year,State,st_area_sh,st_length_
AP,28,0,8.93,8.54,0.85,5.83,24.15,1.21,22.94,6.6,1.03,7.63,1.31,15.91,33.26,2020,Andhra Pradesh,1.60177E+11,4926687.511
AR,12,0,2.01,0.07,1.11,0.002,3.19,0.27,2.92,0.003,0.0102,0.01,0.01,2.9,0.36,2020,Arunachal Pradesh,79352796025,2520625.993
AS,18,0,17.92,0.96,7.64,0.53,27.05,5.09,21.97,1.97,0.61,2.58,0.66,19.33,11.73,2020,Assam,75602867051,2915481.878
BR,10,0,21.02,3.32,1.29,2.42,28.05,2.6,25.46,10.33,2.69,13.02,2.29,12.23,51.14,2020,Bihar,90645830125,2705627.866
CH,4,0,0.01,0.02,0.005,0.03,0.06,0.01,0.06,0.01,0.032,0.05,0.03,0.01,80.6,2020,Chandigarh,115325925.7,51950.44718
DL,7,0,0.05,0.13,0.004,0.13,0.32,0.03,0.29,0.07,0.22,0.29,0.19,0.02,101.4,2020,Delhi,1449918331,211987.5105
KA,29,0,7.47,4.68,2.23,3.77,18.16,1.76,16.4,9.6,1.03,10.63,1.16,7.08,64.85,2020,Karnataka,1.89277E+11,4803481.788
KL,32,0,4.2,0.13,0.46,0.86,5.65,0.53,5.12,1.16,1.48,2.65,2.25,2.13,51.68,2020,Kerala,39497438829,1812195.206
LD,31,0,0.011,0,0.002,0,0.01,0.01,0.005,0,0.003,0.003,0.005,0.002,58.47,2020,Lakshadweep,33121124.29,117993.4141
LK,-9999,0,0.01,0.05,0.02,0.04,0.12,0.01,0.11,0.001,0.0202,0.02,0.02,0.09,17.9,2020,Ladakh,1.6723E+11,3009610.444
DN,26,0,0.04,0.01,0.003,0.02,0.07,0.005,0.07,0.01,0.03,0.03,0.02,0.03,45.99,2020,Dadara &amp; Nagar Havelli,481767677.3,219269.5466
CG,22,0,8.33,1.38,1.11,1.84,12.65,1.11,11.55,4.53,0.81,5.35,0.84,6.25,46.34,2020,Chhattisgarh,1.30358E+11,3289243.515
JK,1,0,0.8,2.04,0.95,0.88,4.68,0.46,4.22,0.2,0.69,0.89,0.57,3.32,21.03,2020,Jammu &amp; Kashmir,54305073951,1351242.802
GA,30,0,0.34,0.02,0.003,0.04,0.4,0.08,0.32,0.02,0.054,0.08,0.05,0.24,23.48,2020,Goa,3552799986,462408.3577
GJ,24,0,19.59,2.89,0,4.32,26.81,1.9,24.91,12.65,0.65,13.3,0.78,12.52,53.39,2020,Gujarat,1.79387E+11,6351114.467
HP,2,0,0.66,0.13,0.13,0.14,1.07,0.1,0.97,0.2,0.15,0.36,0.1,0.62,36.83,2020,Himachal Pradesh,54604034989,1522422.007
JH,20,0,4.91,0.43,0.47,0.35,6.15,0.51,5.64,0.93,0.71,1.64,0.52,4.02,29.13,2020,Jharkhand,76620112712,2806849.576
ML,17,0,1.66,0.01,0.36,0.01,2.04,0.22,1.82,0.03,0.0503,0.08,0.06,1.73,4.22,2020,Meghalaya,21602034313,1103901.535
MN,14,0,0.4,0.001,0.11,0.002,0.51,0.05,0.46,0.003,0.0202,0.02,0.02,0.44,5.12,2020,Manipur,21391119110,859537.7268
MP,23,0,27.75,1.6,0.12,6.69,36.16,2.78,33.38,17.33,1.64,18.97,1.84,15.25,56.82,2020,Madhya Pradesh,2.96741E+11,7258722.352
MZ,15,0,0.19,0,0.03,0,0.22,0.02,0.2,0,0.01,0.01,0.01,0.19,3.81,2020,Mizoram,20258902137,1168203.308
NL,13,0,1.08,0.76,0.27,0.06,2.17,0.22,1.95,0.002,0.02003,0.02,0.02,1.93,1.04,2020,Nagaland,15996585753,897071.7428
OD,21,0,10.26,2.71,1.51,2.6,17.08,1.37,15.71,5.5,1.36,6.86,1.46,8.74,43.65,2020,Odisha,1.49156E+11,4039023.104
PB,3,0,5.01,10.42,0.95,6.41,22.8,2.2,20.59,32.8,1.05,33.85,1.08,1.61,164.42,2020,Punjab,49187991616,1677401.877
PY,34,0,0.06,0.1,0.01,0.05,0.22,0.02,0.2,0.1,0.06,0.15,0.05,0.05,74.27,2020,Puducherry,498480167.7,478751.8448
RJ,8,0,8.8,0.58,0.29,2.57,12.24,1.17,11.07,14.37,2.27,16.63,2.17,0.99,150.22,2020,Rajasthan,3.30051E+11,5321706.69
SK,11,0,0.96,0,0,0,0.96,0.1,0.86,0,0.012,0.01,0.01,0.85,0.86,2020,Sikkim,6885691934,417801.6799
TR,16,0,0.85,0.06,0.34,0.22,1.47,0.22,1.24,0.02,0.0802,0.1,0.09,1.14,7.94,2020,Tripura,10078171624,994097.5336
UK,5,0,1.29,0.31,0.1,0.32,2.02,0.17,1.85,0.63,0.24,0.87,0.16,0.98,46.8,2020,Uttarakhand,52074901424,1586500.585
UP,9,0,37.75,13.16,1.3,19.99,72.2,5.32,66.88,41.29,4.74,46.03,5.38,21.53,68.83,2020,Uttar Pradesh,2.3236E+11,6002325.335
WB,19,0,18.71,1.51,5.26,3.85,29.33,2.77,26.56,10.84,1,11.84,1.53,14.19,44.6,2020,West Bengal,85313730300,3979897.854
AN,35,0,0.32,0.0002,0,0.0001,0.32,0.03,0.28,0.0001,0.011,0.01,0.01,0.28,2.6,2020,Andaman &amp; Nicobar Island,6379238701,3129628.716
DD,25,0,0.03,0.0005,0,0.001,0.03,0.001,0.03,0.003,0.03,0.03,0.02,0.0002,113.38,2020,Daman &amp; Diu,99014419.98,90120.81711
HR,6,0,3.24,2.81,0.58,2.9,9.53,0.9,8.63,10.47,1.15,11.61,0.57,0.97,134.56,2020,Haryana,42826885983,2253998.502
TN,33,0,6.83,9.04,1.26,2.45,19.59,1.9,17.69,13.52,1.16,14.67,1.52,5.65,82.93,2020,Tamil Nadu,1.3117E+11,3367836.57
MH,27,0,20.66,2.38,0.53,8.45,32.01,1.76,30.25,15.29,1.343,16.63,1.34,14.2,54.99,2020,Maharashtra,2.9694E+11,5437287.103
TS,-9999,0,7.5,3.29,1.1,4.75,16.63,1.6,15.03,7.13,0.87,8.01,0.74,7.14,53.32,2020,Telangana,1.09046E+11,2541486.347
